Александр,1813583349, /help
Александр,1813583349, /hi
Александр,1813583349, /time
28-01-2023 17:56:56, Александр,1813583349, /help
28-01-2023 17:56:58, Александр,1813583349, /time
28-01-2023 17:57:52, Александр,1813583349, /help
28-01-2023 17:57:54, Александр,1813583349, /time
28-01-2023 17:57:56, Александр,1813583349, /hi
28-01-2023 17:57:58, Александр,1813583349, /sum
28-01-2023 17:58:06, Александр,1813583349, /sum 25 65
28-01-2023 17:59:27, Александр,1813583349, /time
28-01-2023 18:00:13, Александр,1813583349, /time
28-01-2023 18:00:57, Александр,1813583349, /time
Александр,1813583349, /time
Александр,1813583349, /time
Александр,1813583349, /time
28-01-2023 18:08:20, Александр,1813583349, /help
28-01-2023 18:08:21, Александр,1813583349, /help
28-01-2023 18:08:22, Александр,1813583349, /time
28-01-2023 18:08:22, Александр,1813583349, /help
28-01-2023 18:15:44, Александр,1813583349, /help
28-01-2023 18:15:47, Александр,1813583349, /hi
28-01-2023 18:15:59, Александр,1813583349, /sum 78 2558
28-01-2023 18:16:04, Александр,1813583349, /time
